matricula	ano	mês	dia	hora	min	seg	tipo
21.887.902	2024	3	26	18	40	0	1
21.911.763	2024	3	26	19	42	1	1
21.906.549	2024	3	26	18	45	30	1
20.758.069	2024	3	26	18	50	42	1
21.833.215	2024	3	26	19	51	50	1
23.916.924	2024	3	26	19	55	41	1
21.911.977	2024	3	26	18	32	23	1
15.556.000	2024	3	26	18	20	45	1
81.009.041	2024	3	26	18	35	55	1
23.915.804	2024	3	26	18	48	41	1
23.917.760	2024	3	26	19	47	12	0
21.909.025	2024	3	26	19	46	18	0
23.916.921	2024	3	26	18	40	20	0
162.631.082	2024	3	26	18	42	26	1
21.832.927	2024	3	26	19	43	54	1
21.889.048	2024	3	26	19	47	6	1
23.914.662	2024	3	26	18	30	7	1
21.906.673	2024	3	26	19	42	13	0
23.914.655	2024	3	26	18	45	17	0
21.911.469	2024	3	26	18	50	19	0
23.917.040	2024	3	26	19	51	8	1
21.909.659	2024	3	26	19	55	14	1
12.260.193	2024	3	26	18	32	23	1
21.906.726	2024	3	26	19	20	15	1
91.148.537	2024	3	26	18	35	19	1
21.911.393	2024	3	26	18	48	35	1
23.915.923	2024	3	26	19	47	4	1
23.917.053	2024	3	26	18	32	28	1
14.381.390	2024	3	26	18	20	46	1
21.892.862	2024	3	26	19	35	48	1
14.456.395	2024	3	26	19	48	49	1
21.837.213	2024	3	26	18	47	17	1
21.887.902	2024	4	1	18	40	0	1
21.887.902	2024	4	1	21	30	0	0
21.911.763	2024	4	2	19	42	1	1
21.911.763	2024	4	2	22	20	1	0
21.906.549	2024	4	3	18	45	30	1
21.906.549	2024	4	3	21	45	30	0
20.758.069	2024	4	4	18	50	42	1
20.758.069	2024	4	4	22	50	0	0
21.833.215	2024	4	5	19	51	50	1
21.833.215	2024	4	5	21	30	0	0
23.916.924	2024	4	6	19	55	41	1
23.916.924	2024	4	6	20	40	30	0
21.911.977	2024	4	7	18	32	23	1
21.911.977	2024	4	7	22	0	0	0
15.556.000	2024	4	8	18	20	45	1
81.009.041	2024	4	9	18	35	55	1
23.915.804	2024	4	10	18	48	41	1
23.917.760	2024	4	11	19	47	12	0
21.909.025	2024	4	12	19	46	18	0
23.916.921	2024	4	13	18	40	20	0
162.631.082	2024	4	14	18	42	26	1
21.832.927	2024	4	15	19	43	54	1
21.889.048	2024	4	16	19	47	6	1
23.914.662	2024	4	17	18	30	7	1
21.906.673	2024	4	18	19	42	13	0
23.914.655	2024	4	19	18	45	17	0
21.911.469	2024	4	20	18	50	19	0
23.917.040	2024	4	21	19	51	8	1
21.909.659	2024	4	22	19	55	14	1
12.260.193	2024	4	23	18	32	23	1
21.906.726	2024	4	24	19	20	15	1
91.148.537	2024	4	25	18	35	19	1
21.911.393	2024	4	26	18	48	35	1
23.915.923	2024	4	27	19	47	4	1
23.917.053	2024	4	28	18	32	28	1
14.381.390	2024	4	29	18	20	46	1
21.892.862	2024	4	30	19	35	48	1
14.456.395	2024	4	31	19	48	49	1
21.837.213	2024	4	30	18	47	17	1
15.556.000	2024	4	8	21	20	45	0
81.009.041	2024	4	9	22	50	0	0
23.915.804	2024	4	10	19	40	0	0
23.917.760	2024	4	11	17	30	12	1
21.909.025	2024	4	12	18	0	0	1
23.916.921	2024	4	13	16	40	20	1
162.631.082	2024	4	14	22	0	10	0
21.832.927	2024	4	15	21	40	54	0
21.889.048	2024	4	16	22	10	0	0
23.914.662	2024	4	17	20	30	0	0
21.906.673	2024	4	18	16	20	15	1
23.914.655	2024	4	19	16	40	17	1
21.911.469	2024	4	20	16	55	0	1
23.917.040	2024	4	21	22	20	8	0
21.909.659	2024	4	22	21	40	14	0
12.260.193	2024	4	23	21	45	10	0
21.906.726	2024	4	24	22	20	0	0
91.148.537	2024	4	25	21	55	10	0
21.911.393	2024	4	26	22	0	10	0
23.915.923	2024	4	27	21	47	4	0
23.917.053	2024	4	28	22	20	0	0
14.381.390	2024	4	29	21	45	46	0
21.892.862	2024	4	30	22	15	48	0
14.456.395	2024	4	31	21	30	15	0
21.837.213	2024	4	30	19	50	50	0
